Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
ZINC000002143278,-11.35173255,-10.90918111,-10.64110498,-10.23471499,-9.724515183,-9.061797856,-9.009540154,-8.486305322,-8.420825172,-0.826314803,-0.741309676,-0.19117058,-0.147699669,0.414853388,0.666355521,1.012818204,1.102997652,1.59969204,0.085005127
ZINC000002167088,-10.76331157,-10.62155796,-9.964433893,-9.892063224,-9.892063224,-9.485540933,-9.340299802,-9.297659428,-8.054117223,-1.508917251,-0.296674543,-0.25174468,-0.128567911,0.169697883,0.169697883,0.321983882,0.785967594,0.976719231,1.212242708
ZINC000002242728,-11.52543612,-11.42942454,-10.88445976,-10.5742651,-10.10867911,-9.959994561,-9.206969164,-8.729263211,-8.451849048,-0.910041049,-0.55676502,-0.245967668,0.352405067,0.482053412,0.808568499,1.017764679,1.813974342,2.410002462,0.353276029
ZINC000002510896,-11.10871954,-10.56793317,-10.4763205,-10.25996185,-10.24063532,-9.154667362,-9.110854682,-8.509773513,-8.410211934,-0.416760684,-0.347175622,0.103806139,0.119759071,0.951171021,1.020561311,1.518740376,1.53617431,1.787209725,0.069585062
ZINC000002530747,-11.92708544,-11.60743515,-11.36119921,-11.15448362,-10.65908281,-9.840463337,-9.423460107,-8.654242906,-8.387511806,-0.885984867,-0.364587506,0.142308526,0.517626868,0.994289137,1.383274595,1.991834275,2.706607182,3.103986212,0.521397361
ZINC000002530978,-12.31475527,-12.11673459,-11.74363959,-11.40469952,-11.2438509,-10.24630944,-10.1208542,-9.346565581,-8.59413185,-1.267793159,-0.553986763,0.066814154,0.591783561,0.99540632,1.384891571,2.213859683,2.851881388,2.852789099,0.713806396
ZINC000002558786,-11.56301977,-11.33213775,-10.90685855,-10.48714321,-10.10224429,-9.765755403,-9.296505496,-8.718896194,-8.438872821,-0.85465597,-0.565404813,-0.11520214,0.217244307,0.498451011,0.786625409,1.058674154,1.785059883,2.384983444,0.289251157
ZINC000002558813,-11.81748759,-11.57018592,-11.46106581,-11.17209762,-10.17693385,-9.907203992,-9.144895687,-8.767523051,-8.318070066,-0.6137487,-0.353753771,0.166559481,0.63636063,0.918416246,1.601790433,1.999882402,2.780502953,3.233910177,0.259994929
ZINC000002584246,-13.17272971,-12.72861642,-12.54955846,-12.28385266,-11.79350123,-11.58450717,-10.59691746,-9.927548482,-9.145854847,-2.164762433,-0.968039013,-0.299368277,0.030979777,0.252148923,0.819861602,0.828949738,1.208909534,1.500648628,1.19672342
ZINC000003860823,-12.92041542,-12.80963791,-12.6936236,-12.28162197,-10.48031516,-10.38006269,-10.33245012,-10.24713263,-9.331314564,-0.946606741,-0.538504224,-0.254405339,0.115191115,0.821846071,1.079228115,1.949414398,2.360949311,2.738413821,0.408102517
